word,freq
Tracy,438
SHOT,438
showed,438
die,437
Department,436
parts,436
spent,435
reading,435
ordinary,435
Great,434
dog,432
lips,432
existence,431
Senator,431
dinner,431
save,431
died,430
constitution,429
fair,429
Their,429
actually,429
health,428
fingers,428
walk,427
church,426
step,426
respect,426
direction,426
wide,425
West,425
doctor,425
thoughts,425
level,424
Europe,424
broken,424
original,424
conversation,423
cried,422
according,421
distance,421
rate,421
job,420
desire,420
board,419
third,419
sitting,419
generally,418
effort,418
moving,416
strength,416
Judd,416
individual,416
laughed,416
success,416
complete,416
gives,416
raised,416
Yet,416
hardly,415
music,415
pleasure,414
policy,414
total,413
carry,413
Union,412
Vridar,411
conditions,411
below,411
blue,410
month,410
boat,410
begin,407
picture,407
London,405
holding,405
proper,405
visit,404
presence,404
wait,404
chief,404
tree,404
Bill,403
local,403
labor,403
lived,402
meant,402
places,402
straight,402
Did,402
green,402
scene,402
Thus,402
note,400
City,400
arrived,400
follow,400
trees,400
objects,399
including,398
married,398
serious,398
someone,398
appear,398
shot,398
quiet,397
Perhaps,397
daughter,397
understood,396
George,395
leaving,395
trade,394
shown,394
latter,393
news,393
beside,393
watch,393
dollars,392
iron,392
produced,392
information,392
May,391
spring,391
silence,390
lower,389
supposed,388
foot,388
unless,387
persons,387
steps,387
bit,387
usual,387
loved,387
main,387
paid,387
sit,387
France,386
wild,386
amount,386
regard,386
difference,385
lives,384
fight,384
Such,384
college,384
gentleman,384
easily,384
perfect,383
similar,383
evidence,383
Your,383
determined,382
points,382
rich,381
required,380
dress,379
legs,379
Pam,378
circumstances,378
star,377
length,377
due,377
beauty,377
hot,376
ones,376
rights,376
remain,376
smiled,376
entire,376
works,376
race,375
likely,374
interesting,374
James,374
Thomas,374
Duke,373
Doctor,373
touch,372
officer,372
broke,371
houses,371
watched,371
shoulder,370
drink,369
Joe,369
sky,369
replied,369
send,369
wind,368
difficult,368
production,367
cent,367
worked,367
worth,367
appearance,367
summer,367
bill,367
progress,366
built,366
danger,365
lead,364
practice,363
towards,363
changed,363
piece,361
neck,360
season,360
Street,360
stage,360
price,360
ahead,359
turns,358
girls,358
seat,358
Britain,358
remained,357
interested,357
yes,357
master,355
happen,355
page,355
officers,354
directly,353
attempt,353
tone,353
decision,352
Because,351
gold,350
shook,350
twenty,350
crowd,350
offered,350
fast,349
write,349
watching,349
feelings,349
guess,349
lie,349
letters,348
material,348
Only,347
wrote,347
program,347
desk,346
writing,346
surprise,346
parents,345
member,345
culture,345
needs,345
please,345
dropped,344
soft,344
Are,344
born,344
break,344
seven,344
National,343
hurt,343
judge,343
breath,343
eight,342
killed,342
gets,342
silent,342
animal,342
warm,342
sister,342
Two,342
radio,341
tears,341
direct,341
kitchen,341
Come,340
wonder,340
station,340
covered,339
press,339
prepared,339
equal,339
final,339
industry,338
aside,338
Sir,338
laugh,337
apparently,337
enemy,337
education,337
declared,337
seeing,335
capital,335
Balder,335
color,335
yesterday,335
couple,335
impossible,334
size,334
companies,334
development,333
ways,332
wood,331
expect,331
events,331
Constitution,331
pages,330
papers,330
finished,330
process,330
results,330
particularly,329
instance,329
bank,329
theory,329
Lydia,328
countries,328
AND,328
degree,328
nice,327
pocket,327
market,327
machine,327
Indian,326
appears,326
practical,326
formed,325
share,325
bound,325
Winthrop,325
economic,325
colonies,325
carefully,325
changes,324
recent,324
established,324
buy,324
drew,324
religion,323
Smith,323
talked,323
leading,323
mass,323
principle,322
opportunity,322
offer,322
